@logo      B&M-General Particle Tracer
numderivs           0
cputime     4.000e+00
position    9.900e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
  -5.518e-08  3.068e-07  9.900e-01  3.118e-07 -1.152e-02  6.423e-02  6.922e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.200e+01 
  -4.502e-12 -1.361e-11  9.900e-01  1.434e-11  2.317e-04 -5.140e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.400e+01 
  -4.231e-08 -9.894e-09  9.900e-01  4.345e-08 -3.799e-02 -8.744e-03  6.942e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.600e+01 
   1.364e-09  4.641e-09  9.900e-01  4.838e-09  7.315e-03  2.364e-02  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.800e+01 
   1.534e-07 -1.807e-08  9.900e-01  1.545e-07  5.322e-02 -6.936e-03  6.932e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.000e+01 
   6.341e-12  5.064e-11  9.900e-01  5.104e-11 -1.625e-02  4.084e-03  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.200e+01 
   6.071e-08  6.203e-08  9.900e-01  8.680e-08  3.224e-02  3.332e-02  6.938e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.400e+01 
   1.555e-08 -1.034e-08  9.900e-01  1.867e-08  2.681e-02 -1.780e-02  6.946e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.600e+01 
  -9.423e-08 -2.124e-07  9.900e-01  2.323e-07 -2.438e-02 -5.464e-02  6.927e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.800e+01 
   1.223e-10 -1.784e-10  9.900e-01  2.163e-10 -7.059e-03  9.746e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+01 
  -2.059e-08 -6.202e-08  9.900e-01  6.535e-08 -1.324e-02 -4.068e-02  6.940e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.200e+01 
  -1.005e-08  1.422e-09  9.900e-01  1.015e-08 -2.821e-02  4.062e-03  6.947e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.400e+01 
   1.145e-07  1.453e-07  9.900e-01  1.850e-07  3.503e-02  4.443e-02  6.930e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.600e+01 
   1.491e-09 -7.159e-10  9.900e-01  1.654e-09  1.854e-02 -9.813e-03  6.950e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.800e+01 
  -9.483e-08  6.763e-08  9.900e-01  1.165e-07 -4.114e-02  2.801e-02  6.935e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.000e+01 
   2.820e-08  1.231e-08  9.900e-01  3.077e-08  3.236e-02  1.534e-02  6.944e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.200e+01 
   1.544e-07 -2.166e-07  9.900e-01  2.660e-07  3.613e-02 -5.090e-02  6.925e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.400e+01 
   1.111e-10  8.756e-11  9.900e-01  1.415e-10 -6.421e-03 -6.481e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.600e+01 
  -1.569e-08  5.376e-08  9.900e-01  5.601e-08 -1.103e-02  3.992e-02  6.941e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.800e+01 
   7.903e-10 -7.306e-09  9.900e-01  7.348e-09  3.949e-03 -2.643e-02  6.948e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+02 
  -1.514e-07 -5.282e-08  9.900e-01  1.603e-07 -5.121e-02 -1.810e-02  6.932e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.020e+02 
   9.103e-11  6.235e-10  9.900e-01  6.301e-10  3.690e-03  1.852e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.040e+02 
   1.038e-07 -1.503e-09  9.900e-01  1.038e-07  4.821e-02 -1.323e-03  6.936e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.060e+02 
  -1.773e-08  1.754e-08  9.900e-01  2.494e-08 -2.463e-02  2.347e-02  6.945e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.080e+02 
   2.438e-07  7.122e-08  9.900e-01  2.540e-07  5.867e-02  1.791e-02  6.926e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.100e+02 
  -1.257e-10  2.348e-10  9.900e-01  2.664e-10  6.420e-03 -1.298e-02  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.120e+02 
  -6.120e-08 -4.631e-08  9.900e-01  7.675e-08 -3.585e-02 -2.695e-02  6.939e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.140e+02 
  -1.862e-09  1.443e-08  9.900e-01  1.455e-08 -3.542e-03  3.031e-02  6.946e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.160e+02 
  -2.388e-09 -2.119e-07  9.900e-01  2.119e-07  5.181e-04 -5.853e-02  6.928e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.180e+02 
  -2.889e-09 -5.647e-10  9.900e-01  2.944e-09 -2.251e-02 -3.884e-03  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.200e+02 
   4.225e-08  1.170e-07  9.900e-01  1.244e-07  1.736e-02  4.772e-02  6.935e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.220e+02 
   3.817e-08 -6.105e-09  9.900e-01  3.866e-08  3.722e-02 -6.737e-03  6.943e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.240e+02 
   2.496e-11  1.978e-11  9.900e-01  3.184e-11  2.647e-03  2.466e-03  6.953e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.280e+02 
   3.398e-08 -2.521e-08  9.900e-01  4.231e-08  3.118e-02 -2.299e-02  6.942e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.300e+02 
  -2.115e-09 -4.404e-09  9.900e-01  4.886e-09 -1.112e-02 -2.177e-02  6.949e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.320e+02 
  -8.053e-08  1.226e-07  9.900e-01  1.467e-07 -2.867e-02  4.433e-02  6.933e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.340e+02 
  -7.897e-11 -4.009e-11  9.900e-01  8.857e-11 -2.629e-03 -1.603e-02  6.951e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.360e+02 
  -8.079e-08 -1.632e-09  9.900e-01  8.081e-08 -4.547e-02 -5.718e-04  6.938e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.380e+02 
   8.087e-09  1.491e-08  9.900e-01  1.696e-08  1.543e-02  2.757e-02  6.946e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.400e+02 
   2.249e-07 -7.476e-08  9.900e-01  2.370e-07  5.730e-02 -1.924e-02  6.927e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.420e+02 
   2.330e-10 -7.649e-11  9.900e-01  2.452e-10 -1.019e-02  4.963e-03  6.952e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.440e+02 
   5.191e-08  3.372e-08  9.900e-01  6.190e-08  3.509e-02  2.397e-02  6.940e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.460e+02 
   6.672e-09 -6.718e-09  9.900e-01  9.468e-09  1.956e-02 -2.002e-02  6.948e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.480e+02 
  -1.094e-07 -1.541e-07  9.900e-01  1.890e-07 -3.331e-02 -4.584e-02  6.930e-01  1.391e+00  6.764e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.500e+02 
